Santa Cruz,AZ,43.47,29.5,128167,12100,27.4,5.4,52.17,26.2,600
Yavapai,AZ,30.75,42.4,95144,15378,15,9.69,51.07,14.3,337
Yuma,AZ,36.97,30.5,60526,13091,28,9.48,49.01,21.5,63
Arkansas,AR,59.01,35.5,177652,15327,19.6,12.91,52.74,21.6,457
Ashley,AR,61.42,33.9,74124,15044,21.3,11.9,52.08,26.7,373
Baxter,AR,44.44,47.1,121231,15577,14.9,12.29,52.25,58.8,109
Benton,AR,36.45,35.9,97252,18124,9.8,10,51.18,125.2,345
Boone,AR,42.45,36.5,62629,14605,14.2,11.15,52.07,49.6,168
Bradley,AR,61.07,36.6,132909,14936,23.8,10.22,52.44,17.8,304
Calhoun,AR,51.41,34.3,49484,12475,17.9,10.16,51.73,9.1,160
Carroll,AR,42.55,38.1,133734,14860,14.6,10.97,51.66,30.8,285
Chicot,AR,68.72,31.9,76209,12669,38.8,7.3,53.29,24.4,417
Clark,AR,64.64,32.2,119620,13403,20.6,11.22,52.48,24.8,202
Clay,AR,68.47,39.5,80249,13406,19,12.39,52.09,28,142
Cleburne,AR,51,41.7,105408,13970,16.7,11.71,51.46,36.7,219
Cleveland,AR,56.04,35.7,26922,12675,17.2,11.14,51.39,13.2,54
Columbia,AR,48.35,33.6,155722,14294,23.6,9.75,53.08,33.5,232
Conway,AR,57.75,34.7,59808,14486,18.5,12.49,52.17,34.7,177
Craighead,AR,54.43,31.6,87122,15310,16.8,9.13,51.85,99.9,445
Crawford,AR,41.18,32.6,60472,12673,18,10.37,51.09,74.4,297
Crittenden,AR,56.6,29.8,47128,14202,28,8.9,52.88,81.2,513
Cross,AR,58.09,32.2,105683,13750,24.9,9.14,51.97,31.2,242
Dallas,AR,53.68,36.4,90482,14782,21.3,11.05,52.12,14.2,296
Desha,AR,67.87,31.5,98155,13154,30.6,9.64,53.29,21.3,523
Drew,AR,59.51,31.8,84350,13477,19.6,10.36,51.7,20.8,123
Faulkner,AR,51.56,29.8,60028,15191,12.3,8.51,51.62,99.3,391
Franklin,AR,47.76,35.4,84306,12860,15.9,12.57,50.38,24.9,188
Fulton,AR,59.69,40.6,86435,10690,25.6,14.65,52,16.2,149
Garland,AR,52.26,40.8,95715,17457,17.9,13.66,52.32,112.1,554
Grant,AR,51.47,34.4,40619,14534,13,11.86,50.75,22.8,208
