"submission_date","state","new_case","new_death"
"09/14/2021","IL",4660,39
"01/10/2022","ID",1495,1
"12/17/2021","NE",870,5
"01/05/2022","ND",1349,4
"10/23/2021","MT",0,0
"11/20/2021","IN",0,0
"12/31/2021","MD",13110,36
"09/02/2021","MS",3352,18
"11/23/2021","MS",265,4
"11/27/2021","MS",197,0
"10/25/2021","MI",8572,28
"10/20/2021","IN",1950,53
"02/17/2022","VI",9,0
"01/18/2022","MS",22456,17
"11/10/2021","VI",23,1
"12/30/2021","CT",7704,-1
"01/27/2022","GU",817,1
"01/21/2022","VI",143,1
"10/15/2021","NH",626,4
"01/16/2022","GU",263,0
"11/19/2021","MI",9757,59
"09/07/2021","DE",348,0
"12/16/2021","IL",11858,59
"12/17/2021","VI",2,0
"09/16/2021","MO",2526,19
"01/18/2022","DE",1117,0
"02/06/2022","ME",0,0
"11/02/2021","WI",3365,37
"10/13/2021","DE",321,0
"10/11/2021","WI",1919,18
"11/25/2021","MO",1348,0
"10/01/2021","NE",762,0
"02/18/2022","MT",1119,6
"11/05/2021","CA",8012,93
"01/19/2022","AL",16153,31
"12/03/2021","MO",5375,7
"02/03/2022","MT",1051,3
"02/02/2022","MS",5940,126
"01/17/2022","AL",9691,34
"11/29/2021","VI",21,1
"01/01/2022","CA",0,0
"02/11/2022","AL",2401,2
"01/06/2022","ME",1327,7
"10/16/2021","CA",0,0
"01/20/2022","ND",3005,5
"11/26/2021","NH",915,0
"01/31/2022","VI",24,2
"12/23/2021","MI",0,0
"01/29/2022","NH",0,0
"10/01/2021","GU",84,0
"10/27/2021","MI",5323,28
"02/01/2022","NH",499,14
"12/09/2021","NH",1551,5
"10/30/2021","MT",0,0
"09/08/2021","NC",5499,69
"12/16/2021","AL",887,8
"11/16/2021","MI",8560,40
"10/15/2021","IL",2413,45
"02/16/2022","NH",457,10
"09/03/2021","ID",1388,0
"01/25/2022","DE",957,9
"11/02/2021","MO",1337,9
"10/01/2021","AL",1421,51
"09/26/2021","ID",399,0
"10/09/2021","MT",554,3
"09/17/2021","IL",3601,62
"11/28/2021","ND",209,0
"01/02/2022","VT",415,2
"11/19/2021","ND",487,1
"11/12/2021","MT",1181,28
"12/23/2021","WA",4141,29
"01/16/2022","CA",0,0
"01/22/2022","NC",34715,51
